date,code,close
20260425,002384,187.9
20260425,688981,110.96
20260425,300136,81.3
20260425,300750,444.9
20260425,300308,886.99
20260425,688256,1352.5
20260425,002281,128.7
20260425,601138,65.01
20260425,600487,69.54
20260425,002475,66.0
20260425,688008,163.5
20260425,300394,323.87
20260425,300502,537.27
20260425,300476,315.59
20260425,688808,799.0
20260425,688041,285.0
20260425,300475,162.05
20260425,300058,17.4
20260425,002428,77.12
20260425,603986,297.7
20260425,300394,323.87
20260425,300475,162.05
20260425,002475,66.0
20260425,688008,163.5
20260425,688256,1352.5
20260425,002384,187.9
20260425,300476,315.59
20260425,300308,886.99
20260425,300502,537.27
20260425,600487,69.54
20260425,688808,799.0
20260425,002281,128.7
20260425,603986,297.7
20260425,002428,77.12
20260425,300750,444.9
20260425,300136,81.3
20260425,688981,110.96
20260425,601138,65.01
20260425,300058,17.4
20260425,688041,285.0
20260425,601138,65.01
20260425,002475,66.0
20260425,688981,110.96
20260425,300502,537.27
20260425,688008,163.5
20260425,688256,1352.5
20260425,300136,81.3
20260425,688808,799.0
20260425,300394,323.87
20260425,300476,315.59
20260425,300058,17.4
20260425,002281,128.7
20260425,300750,444.9
20260425,002428,77.12
20260425,603986,297.7
20260425,300308,886.99
20260425,300475,162.05
20260425,688041,285.0
20260425,002384,187.9
20260425,600487,69.54
20260425,300394,323.87
20260425,688256,1352.5
20260425,300136,81.3
20260425,002475,66.0
20260425,300475,162.05
20260425,002384,187.9
20260425,002428,77.12
20260425,688808,799.0
20260425,688041,285.0
20260425,300058,17.4
20260425,600487,69.54
20260425,688008,163.5
20260425,300750,444.9
20260425,603986,297.7
20260425,601138,65.01
20260425,300308,886.99
20260425,688981,110.96
20260425,300502,537.27
20260425,002281,128.7
20260425,300476,315.59
20260425,603986,297.7
20260425,300058,17.4
20260425,688008,163.5
20260425,002475,66.0
20260425,002428,77.12
20260425,688981,110.96
20260425,300502,537.27
20260425,002384,187.9
20260425,601138,65.01
20260425,300136,81.3
20260425,300308,886.99
20260425,300475,162.05
20260425,688808,799.0
20260425,300394,323.87
20260425,002281,128.7
20260425,600487,69.54
20260425,688041,285.0
20260425,688256,1352.5
20260425,300750,444.9
20260425,300476,315.59
20260425,688041,285.0
20260425,300394,323.87
20260425,300475,162.05
20260425,002384,187.9
20260425,600487,69.54
20260425,300136,81.3
20260425,002475,66.0
20260425,002428,77.12
20260425,688981,110.96
20260425,300502,537.27
20260425,300750,444.9
20260425,688008,163.5
20260425,002281,128.7
20260425,603986,297.7
20260425,300476,315.59
20260425,300308,886.99
20260425,688256,1352.5
20260425,300058,17.4
20260425,688808,799.0
20260425,601138,65.01
20260425,688808,799.0
20260425,002281,128.7
20260425,603986,297.7
20260425,300750,444.9
20260425,300476,315.59
20260425,300394,323.87
20260425,600487,69.54
20260425,688041,285.0
20260425,002475,66.0
20260425,300475,162.05
20260425,688981,110.96
20260425,002384,187.9
20260425,688256,1352.5
20260425,300058,17.4
20260425,300502,537.27
20260425,002428,77.12
20260425,300136,81.3
20260425,601138,65.01
20260425,300308,886.99
20260425,688008,163.5
20260425,300750,444.9
20260425,300475,162.05
20260425,300058,17.4
20260425,688008,163.5
20260425,300476,315.59
20260425,688041,285.0
20260425,603986,297.7
20260425,002475,66.0
20260425,002384,187.9
20260425,300394,323.87
20260425,300136,81.3
20260425,002281,128.7
20260425,300308,886.99
20260425,688256,1352.5
20260425,002428,77.12
20260425,688981,110.96
20260425,300502,537.27
20260425,601138,65.01
20260425,600487,69.54
20260425,688808,799.0
20260425,300136,81.3
20260425,300394,323.87
20260425,688808,799.0
20260425,300475,162.05
20260425,601138,65.01
20260425,300750,444.9
20260425,002428,77.12
20260425,600487,69.54
20260425,688041,285.0
20260425,688981,110.96
20260425,300308,886.99
20260425,603986,297.7
20260425,300476,315.59
20260425,688256,1352.5
20260425,300502,537.27
20260425,002475,66.0
20260425,300058,17.4
20260425,002384,187.9
20260425,002281,128.7
20260425,688008,163.5
20260425,002428,77.12
20260425,300136,81.3
20260425,688981,110.96
20260425,300475,162.05
20260425,300308,886.99
20260425,600487,69.54
20260425,300750,444.9
20260425,688008,163.5
20260425,300394,323.87
20260425,002475,66.0
20260425,601138,65.01
20260425,300058,17.4
20260425,002384,187.9
20260425,300476,315.59
20260425,300502,537.27
20260425,688041,285.0
20260425,688256,1352.5
20260425,002281,128.7
20260425,688808,799.0
20260425,603986,297.7
20260425,300502,537.27
20260425,601138,65.01
20260425,688256,1352.5
20260425,603986,297.7
20260425,688041,285.0
20260425,688981,110.96
20260425,300136,81.3
20260425,300058,17.4
20260425,688008,163.5
20260425,300475,162.05
20260425,002281,128.7
20260425,600487,69.54
20260425,002475,66.0
20260425,300394,323.87
20260425,300750,444.9
20260425,300476,315.59
20260425,688808,799.0
20260425,002428,77.12
20260425,002384,187.9
20260425,300308,886.99
20260425,688808,799.0
20260425,300058,17.4
20260425,688008,163.5
20260425,688041,285.0
20260425,300394,323.87
20260425,300475,162.05
20260425,300502,537.27
20260425,002475,66.0
20260425,300476,315.59
20260425,688981,110.96
20260425,002428,77.12
20260425,688256,1352.5
20260425,300308,886.99
20260425,002384,187.9
20260425,002281,128.7
