日期: 20260427
强势股总数: 241

序号  名称        代码      涨幅      换手      成交        量比      新高    趋势评分
85  福达合金      603045     6.8%  7.81%    4.17亿   1.5   1    2.40
86  优利德       688628     7.2%  7.99%    9.30亿   1.3   1    2.39
87  联翔股份      603272    10.0%  5.72%    1.43亿   0.7   0    2.38
88  帝欧水华      002798     5.6%  7.68%    2.72亿   1.9   1    2.37
89  先河环保      300137     7.3%  9.07%    8.16亿   1.2   1    2.35
90  盛视科技      002990   -10.0% 14.09%    9.69亿   0.7   0    2.35
91  光力科技      300480     5.9% 10.72%   10.40亿   1.7   1    2.34
92  东威科技      688700     7.4%  4.73%    9.19亿   1.0   1    2.30
93  晨丰科技      603685     6.5%  2.60%    1.72亿   1.4   1    2.30
94  江铃汽车      000550     4.0%  2.03%    2.07亿   2.4   1    2.29
95  埃科光电      688610     7.2%  5.28%    2.60亿   1.1   1    2.28
96  金宏气体      688106     6.5% 16.21%   34.97亿   1.3   1    2.24
97  富安娜       002327     1.9%  5.18%    1.89亿   3.1   1    2.24
98  沃格光电      603773    10.0%  5.96%    8.50亿   0.5   0    2.23
99  深南电路      002916     6.8%  2.08%   44.61亿   1.1   1    2.22
100 中晶科技      003026     4.7% 14.99%    5.93亿   2.0   1    2.22
101 通达电气      603390    -2.2% 13.78%    6.81亿   3.5   0    2.20
102 杉杉股份      600884     5.4% 10.35%   30.15亿   1.6   1    2.19
103 南亚新材      688519     7.0%  3.43%   13.45亿   0.9   1    2.17
104 圣泉集团      605589     4.3%  9.71%   31.93亿   2.0   1    2.17
105 芯碁微装      688630     6.8%  5.31%   18.61亿   1.0   1    2.16
106 永和智控      002795     2.6% 12.68%    4.94亿   2.7   1    2.16
107 强一股份      688809     6.3% 12.35%   12.81亿   1.1   1    2.14
108 恩捷股份      002812     4.8% 10.02%   67.27亿   1.7   1    2.10
109 卓郎智能      600545     4.4% 12.09%   10.42亿   1.8   1    2.09
110 思泉新材      301489     5.7% 11.23%   12.04亿   1.3   1    2.07
111 多氟多       002407     4.5% 21.18%   78.13亿   1.8   1    2.07
112 天通股份      600330     5.9% 21.20%   72.29亿   1.1   1    2.05
113 博云新材      002297    -7.9% 28.90%   33.50亿   0.9   0    2.05
114 远东股份      600869     6.3%  5.59%   21.01亿   1.0   1    2.04
115 江波龙       301308     5.4%  6.91%   73.13亿   1.3   1    2.04
116 同宇新材      301630     5.0% 24.64%    5.93亿   1.4   1    2.02
117 西藏城投      600773     5.8%  4.78%   11.77亿   1.1   1    2.01
118 融捷股份      002192     4.8% 16.18%   38.17亿   1.5   1    2.01
119 长龄液压      605389     5.2%  2.05%    2.61亿   1.3   1    1.99
120 广钢气体      688548     5.2%  7.15%   16.14亿   1.3   1    1.98
121 上海新阳      300236     4.0%  6.97%   17.49亿   1.8   1    1.98
122 宏源药业      301246     4.4% 15.29%    6.58亿   1.6   1    1.97
123 新集能源      601918     4.1%  3.54%    7.79亿   1.7   1    1.97
124 远大控股      000626     4.8%  7.69%    3.52亿   1.4   1    1.96
125 快克智能      603203     5.1%  4.15%    4.91亿   1.2   1    1.91
126 司太立       603520     0.9% 14.26%    7.43亿   2.8   1    1.90
127 宏昌电子      603002     5.3%  8.64%   14.44亿   1.0   1    1.85
128 石大胜华      603026     5.0%  9.87%   25.13亿   1.1   1    1.85
129 科达制造      600499     2.4%  3.56%   13.86亿   2.1   1    1.85
