date,code,close
20260427,600487,71.38
20260427,600519,1403.2
20260427,600522,35.78
20260427,002371,516.25
20260427,002281,134.52
20260427,688256,1356.72
20260427,300476,317.4
20260427,688008,178.09
20260427,002475,71.97
20260427,000988,118.79
20260427,688041,296.27
20260427,002384,186.7
20260427,688981,116.58
20260427,300750,434.88
20260427,300308,857.03
20260427,300502,538.0
20260427,601138,67.25
20260427,603986,303.42
20260427,300394,322.25
20260427,300136,88.46
20260427,600487,71.38
20260427,601138,67.25
20260427,002384,186.7
20260427,688256,1356.72
20260427,300136,88.46
20260427,002371,516.25
20260427,002281,134.52
20260427,300476,317.4
20260427,600522,35.78
20260427,300750,434.88
20260427,000988,118.79
20260427,300502,538.0
20260427,300394,322.25
20260427,002475,71.97
20260427,688008,178.09
20260427,688981,116.58
20260427,600519,1403.2
20260427,688041,296.27
20260427,300308,857.03
20260427,603986,303.42
20260427,002371,516.25
20260427,688041,296.27
20260427,300136,88.46
20260427,688008,178.09
20260427,300476,317.4
20260427,300750,434.88
20260427,002475,71.97
20260427,688256,1356.72
20260427,000988,118.79
20260427,002281,134.52
20260427,002384,186.7
20260427,600487,71.38
20260427,688981,116.58
20260427,601138,67.25
20260427,300308,857.03
20260427,300394,322.25
20260427,600519,1403.2
20260427,603986,303.42
20260427,300502,538.0
20260427,600522,35.78
20260427,300476,317.4
20260427,600487,71.38
20260427,600522,35.78
20260427,002475,71.97
20260427,300308,857.03
20260427,300750,434.88
20260427,002371,516.25
20260427,601138,67.25
20260427,600519,1403.2
20260427,603986,303.42
20260427,002281,134.52
20260427,300502,538.0
20260427,300394,322.25
20260427,688981,116.58
20260427,688041,296.27
20260427,688008,178.09
20260427,688256,1356.72
20260427,002384,186.7
20260427,000988,118.79
20260427,300136,88.46
20260427,000988,118.79
20260427,300502,538.0
20260427,688041,296.27
20260427,300750,434.88
20260427,601138,67.25
20260427,002475,71.97
20260427,002371,516.25
20260427,688981,116.58
20260427,603986,303.42
20260427,002281,134.52
20260427,600487,71.38
20260427,600522,35.78
20260427,688256,1356.72
20260427,600519,1403.2
20260427,300136,88.46
20260427,002384,186.7
20260427,300394,322.25
20260427,300476,317.4
20260427,300308,857.03
20260427,688008,178.09
20260427,300394,322.25
20260427,002371,516.25
20260427,300750,434.88
20260427,002475,71.97
20260427,300136,88.46
20260427,300476,317.4
20260427,688981,116.58
20260427,600519,1403.2
20260427,688256,1356.72
20260427,688008,178.09
20260427,688041,296.27
20260427,002384,186.7
20260427,600522,35.78
20260427,603986,303.42
20260427,000988,118.79
20260427,600487,71.38
20260427,002281,134.52
20260427,300308,857.03
20260427,601138,67.25
20260427,300502,538.0
