日期: 20260427
板块跌停家数统计

中药Ⅱ: 2只跌停
专用设备: 2只跌停
电网设备: 2只跌停
橡胶: 2只跌停
专业工程: 1只跌停
工业金属: 1只跌停
化学原料: 1只跌停
游戏Ⅱ: 1只跌停
汽车零部: 1只跌停
造纸: 1只跌停
计算机设: 1只跌停
证券Ⅱ: 1只跌停
小家电: 1只跌停
通用设备: 1只跌停
非白酒: 1只跌停
塑料: 1只跌停
物流: 1只跌停
燃气Ⅱ: 1只跌停
服装家纺: 1只跌停
普钢: 1只跌停
综合Ⅱ: 1只跌停
包装印刷: 1只跌停
房地产开: 1只跌停
多元金融: 1只跌停
化学纤维: 1只跌停
休闲食品: 1只跌停
基础建设: 1只跌停
养殖业: 1只跌停
炼化及贸: 1只跌停
装修建材: 1只跌停
